entry_id,ticket_ref_id,source_field,text_content,sentiment,resolution_time_minutes
414,INC18336,resolution_notes,Problem solved after the steps you provided.,Positive,1370
415,REQ51219,short_description,Password Reset,Neutral,104
416,REQ51219,description,Following up on previous ticket INC16190.,Neutral,104
417,REQ51219,comments,Checked logs on WEB-CONSIDER-02. Found error E5607.,Neutral,104
418,REQ51219,resolution_notes,The new monitor works great. Setup was smooth.,Positive,104
419,REQ51220,short_description,Password Reset,Neutral,2704
420,REQ51220,description,Submitting request for software license for Teams.,Neutral,2704
421,REQ51220,resolution_notes,Resolved by restarting the Internal Portal service on DC-SINCE-04.,Neutral,2704
422,INC18337,short_description,Cannot Login to SAP,Negative,134
423,INC18337,description,System crash on DC-I-29. Lost work. Please investigate immediately.,Negative,134
424,INC18337,comments,Investigating network latency between North Summer and DC.,Neutral,134
425,INC18337,comments,Following up as requested.,Neutral,134
426,INC18337,resolution_notes,Network configuration corrected by Help Desk.,Neutral,134
427,REQ51221,short_description,Password Reset,Neutral,4302
428,REQ51221,description,Following up on previous ticket INC16037.,Neutral,4302
429,REQ51221,resolution_notes,Access granted to Outlook. User notified.,Neutral,4302
430,INC18338,short_description,Teams Down,Negative,1232
431,INC18338,description,This is unacceptable performance for Outlook.,Negative,1232
432,INC18338,resolution_notes,Network configuration corrected by Security Ops.,Neutral,1232
433,INC18339,short_description,Cannot Login to Internal Portal,Negative,1079
434,INC18339,description,Cannot login to VPN Client. Getting error E8441. Urgent!,Negative,1079
435,INC18339,comments,Applied configuration change as per documentation.,Neutral,1079
436,INC18339,comments,Applied configuration change as per documentation.,Neutral,1079
437,INC18339,comments,Monitoring system performance after patch deployment.,Neutral,1079
438,INC18339,resolution_notes,Problem solved after the steps you provided.,Positive,1079
439,REQ51222,short_description,Request for Salesforce Access,Neutral,3346
440,REQ51222,description,Requesting information on how to configure MFA.,Neutral,3346
441,REQ51222,resolution_notes,Password reset completed. User able to login.,Neutral,3346
442,INC18340,short_description,Urgent: Teams Access Issue,Negative,1179
443,INC18340,description,Error W2763 when trying to access the shared drive.,Negative,1179
444,INC18340,comments,Gathering more information from user Richard Clay.,Neutral,1179
445,INC18340,resolution_notes,Issue resolved quickly. Appreciate the help from Security Ops.,Positive,1179
446,REQ51223,short_description,Information Request,Neutral,754
447,REQ51223,description,Password reset required for Katrina Beltran's account.,Neutral,754
448,REQ51223,resolution_notes,Issue resolved quickly. Appreciate the help from Server Support.,Positive,754
449,INC18341,short_description,desk phone Broken,Negative,86
450,INC18341,description,Error W1292 when trying to access the shared drive.,Negative,86
451,INC18341,comments,Monitoring system performance after patch deployment.,Neutral,86
452,INC18341,comments,Following up as requested.,Neutral,86
453,INC18341,resolution_notes,User Melinda Kim confirmed resolution.,Positive,86
454,INC18342,short_description,Connectivity Error,Neutral,1234
455,INC18342,description,Finance Tool is extremely slow today. Taking minutes to load.,Negative,1234
456,INC18342,resolution_notes,"Excellent support, problem fixed.",Positive,1234
457,INC18343,short_description,Issue with monitor,Neutral,1028
458,INC18343,description,The provided solution did not work. Problem persists.,Negative,1028
459,INC18343,resolution_notes,Issue resolved quickly. Appreciate the help from App Support Team.,Positive,1028
460,INC18344,short_description,Connectivity Error,Neutral,1343
461,INC18344,description,The provided solution did not work. Problem persists.,Negative,1343
462,INC18344,resolution_notes,Access granted. Thank you for the prompt response.,Positive,1343
463,REQ51224,short_description,Information Request,Neutral,2033
464,REQ51224,description,Following up on previous ticket INC13929.,Neutral,2033
465,REQ51224,resolution_notes,Problem solved after the steps you provided.,Positive,2033
466,INC18345,short_description,Urgent: Salesforce Access Issue,Negative,403
467,INC18345,description,My printer is broken. Need a replacement ASAP.,Negative,403
468,INC18345,resolution_notes,Access granted to Outlook. User notified.,Neutral,403
469,REQ51225,short_description,New docking station Request,Neutral,1231
470,REQ51225,description,Submitting request for software license for SAP.,Neutral,1231
471,REQ51225,resolution_notes,Great job on resolving the outage so fast!,Positive,1231
472,INC18346,short_description,Network Slow in West Christian,Negative,1238
473,INC18346,description,Cannot login to VPN Client. Getting error E8116. Urgent!,Negative,1238
474,INC18346,resolution_notes,"Excellent support, problem fixed.",Positive,1238
475,INC18347,short_description,Salesforce Down,Negative,290
476,INC18347,description,Cannot login to Salesforce. Getting error E2217. Urgent!,Negative,290
477,INC18347,comments,Just checking in on the status.,Neutral,290
478,INC18347,comments,This is taking too long.,Negative,290
479,INC18347,resolution_notes,The new monitor works great. Setup was smooth.,Positive,290
480,INC18348,short_description,mouse Broken,Negative,1027
481,INC18348,description,Still waiting for an update on my issue from yesterday.,Negative,1027
482,INC18348,comments,Is there any further information needed from my side?,Neutral,1027
483,INC18348,resolution_notes,Great job on resolving the outage so fast!,Positive,1027
484,REQ51226,short_description,Request for VPN Client Access,Neutral,3700
485,REQ51226,description,Inquiry about the status of upgrade project 'Strategize World-Class E-Services'.,Neutral,3700
486,REQ51226,resolution_notes,Great job on resolving the outage so fast!,Positive,3700
487,INC18349,short_description,Teams Down,Negative,34
488,INC18349,description,Frustrated with the constant issues with the printer.,Negative,34
489,INC18349,comments,Following up as requested.,Neutral,34
490,INC18349,resolution_notes,User Corey Leach confirmed resolution.,Positive,34
491,REQ51227,short_description,Software Installation VPN Client,Neutral,2819
492,REQ51227,description,Inquiry about the status of upgrade project 'Visualize Dynamic Vortals'.,Neutral,2819
493,REQ51227,comments,Following up as requested.,Neutral,2819
494,REQ51227,resolution_notes,The new monitor works great. Setup was smooth.,Positive,2819
495,REQ51228,short_description,Information Request,Neutral,116
496,REQ51228,description,Password reset required for Elizabeth Holloway's account.,Neutral,116
497,REQ51228,resolution_notes,Problem solved after the steps you provided.,Positive,116
498,INC18350,short_description,Urgent: HR System Access Issue,Negative,1412
499,INC18350,description,Network connection keeps dropping in Barbarabury office.,Negative,1412
500,INC18350,comments,Gathering more information from user Michael Martin.,Neutral,1412
501,INC18350,comments,Monitoring system performance after patch deployment.,Neutral,1412
502,INC18350,comments,Assigned ticket to Security Ops.,Neutral,1412
503,INC18350,resolution_notes,"Excellent support, problem fixed.",Positive,1412
504,INC18351,short_description,Cannot Login to VPN Client,Negative,679
505,INC18351,description,System crash on APP-GLASS-46. Lost work. Please investigate immediately.,Negative,679
506,INC18351,comments,Any update on this request?,Neutral,679
507,INC18351,resolution_notes,Finally working again after restart. Thanks!,Positive,679
508,INC18352,short_description,Urgent: VPN Client Access Issue,Negative,1221
509,INC18352,description,Cannot login to Outlook. Getting error C3014. Urgent!,Negative,1221
510,INC18352,resolution_notes,Problem solved after the steps you provided.,Positive,1221
511,INC18353,short_description,Issue with printer,Neutral,1001
512,INC18353,description,Error C2111 when trying to access the shared drive.,Negative,1001
513,INC18353,comments,Escalating issue to Tier 3 support / Desktop Support.,Neutral,1001
514,INC18353,resolution_notes,Finally working again after restart. Thanks!,Positive,1001
515,REQ51229,short_description,Information Request,Neutral,3848
516,REQ51229,description,Need standard mouse for employee starting next week.,Neutral,3848
517,REQ51229,resolution_notes,Great job on resolving the outage so fast!,Positive,3848
518,INC18354,short_description,docking station Broken,Negative,376
519,INC18354,description,This is unacceptable performance for HR System.,Negative,376
520,INC18354,resolution_notes,"Excellent support, problem fixed.",Positive,376
521,INC18355,short_description,Cannot Login to Finance Tool,Negative,738
522,INC18355,description,System crash on APP-PICTURE-27. Lost work. Please investigate immediately.,Negative,738
523,INC18355,comments,Just checking in on the status.,Neutral,738
524,INC18355,comments,Assigned ticket to Security Ops.,Neutral,738
525,INC18355,resolution_notes,Finally working again after restart. Thanks!,Positive,738
526,REQ51230,short_description,Software Installation Salesforce,Neutral,393
527,REQ51230,description,Need standard desk phone for employee starting next week.,Neutral,393
528,REQ51230,comments,Attempted remote connection to user's machine. Failed.,Neutral,393
529,REQ51230,resolution_notes,Network configuration corrected by Help Desk.,Neutral,393
530,REQ51231,short_description,New mouse Request,Neutral,2361
531,REQ51231,description,Requesting information on how to configure MFA.,Neutral,2361
532,REQ51231,comments,Following up as requested.,Neutral,2361
533,REQ51231,resolution_notes,Issue resolved quickly. Appreciate the help from Security Ops.,Positive,2361
534,INC18356,short_description,Login Problem Internal Portal,Neutral,572
535,INC18356,description,Frustrated with the constant issues with the keyboard.,Negative,572
536,INC18356,resolution_notes,Issue resolved quickly. Appreciate the help from Server Support.,Positive,572
537,REQ51232,short_description,Request for Outlook Access,Neutral,621
538,REQ51232,description,Requesting access to Teams for new user Mary Cook.,Neutral,621
539,REQ51232,resolution_notes,Replaced faulty monitor. Asset tag updated.,Neutral,621
540,REQ51233,short_description,Information Request,Neutral,2668
541,REQ51233,description,Inquiry about the status of upgrade project 'Envisioneer Clicks-And-Mortar Roi'.,Neutral,2668
542,REQ51233,resolution_notes,Great job on resolving the outage so fast!,Positive,2668
543,INC18357,short_description,Cannot Login to Teams,Negative,208
544,INC18357,description,System crash on DC-SHOULD-27. Lost work. Please investigate immediately.,Negative,208
545,INC18357,resolution_notes,"Excellent support, problem fixed.",Positive,208
546,INC18358,short_description,Teams Down,Negative,1206
547,INC18358,description,Network connection keeps dropping in Port Audrey office.,Negative,1206
548,INC18358,comments,Assigned ticket to Server Support.,Neutral,1206
549,INC18358,comments,This impacts deadline 2025-04-11. Need resolution!,Negative,1206
550,INC18358,comments,Escalating issue to Tier 3 support / App Support Team.,Neutral,1206
551,INC18358,resolution_notes,User Aaron Brooks confirmed resolution.,Positive,1206
552,INC18359,short_description,Urgent: VPN Client Access Issue,Negative,1264
553,INC18359,description,Network connection keeps dropping in Loriport office.,Negative,1264
554,INC18359,resolution_notes,Problem solved after the steps you provided.,Positive,1264
555,INC18360,short_description,Connectivity Error,Neutral,1120
556,INC18360,description,VPN Client is extremely slow today. Taking minutes to load.,Negative,1120
557,INC18360,resolution_notes,"Excellent support, problem fixed.",Positive,1120
558,REQ51234,short_description,Software Installation Outlook,Neutral,2144
559,REQ51234,description,VM provisioning request based on template 'Dev VM Template'.,Neutral,2144
560,REQ51234,resolution_notes,Confirmed fix is working. Closing the ticket.,Positive,2144
561,REQ51235,short_description,Password Reset,Neutral,3343
562,REQ51235,description,Password reset required for Mary Burke's account.,Neutral,3343
563,REQ51235,resolution_notes,Access granted to SAP. User notified.,Neutral,3343
564,INC18361,short_description,Urgent: Teams Access Issue,Negative,1378
565,INC18361,description,My mouse is broken. Need a replacement ASAP.,Negative,1378
566,INC18361,comments,Any update on this request?,Neutral,1378
567,INC18361,resolution_notes,The new printer works great. Setup was smooth.,Positive,1378
568,INC18362,short_description,Cannot Login to VPN Client,Negative,89
569,INC18362,description,This is unacceptable performance for Outlook.,Negative,89
570,INC18362,comments,Can you please provide an estimated resolution time?,Neutral,89
571,INC18362,comments,Monitoring system performance after patch deployment.,Neutral,89
572,INC18362,resolution_notes,Issue resolved quickly. Appreciate the help from Security Ops.,Positive,89
573,REQ51236,short_description,Information Request,Neutral,2135
574,REQ51236,description,Inquiry about the status of upgrade project 'Redefine 24/365 Applications'.,Neutral,2135
575,REQ51236,comments,Attempted remote connection to user's machine. Failed.,Neutral,2135
576,REQ51236,resolution_notes,User Justin Hooper confirmed resolution.,Positive,2135
577,INC18363,short_description,keyboard Broken,Negative,1263
578,INC18363,description,Cannot login to Teams. Getting error E7410. Urgent!,Negative,1263
579,INC18363,resolution_notes,The new keyboard works great. Setup was smooth.,Positive,1263
580,INC18364,short_description,Network Slow in New James,Negative,644
581,INC18364,description,My docking station is broken. Need a replacement ASAP.,Negative,644
582,INC18364,comments,Just checking in on the status.,Neutral,644
583,INC18364,resolution_notes,Replaced faulty keyboard. Asset tag updated.,Neutral,644
584,INC18365,short_description,printer Broken,Negative,505
585,INC18365,description,My docking station is broken. Need a replacement ASAP.,Negative,505
586,INC18365,resolution_notes,Problem solved after the steps you provided.,Positive,505
587,INC18366,short_description,Login Problem SAP,Neutral,610
588,INC18366,description,The provided solution did not work. Problem persists.,Negative,610
589,INC18366,resolution_notes,Confirmed fix is working. Closing the ticket.,Positive,610
590,REQ51237,short_description,New mouse Request,Neutral,2737
591,REQ51237,description,Password reset required for Michael Villarreal DDS's account.,Neutral,2737
592,REQ51237,comments,Assigned ticket to Server Support.,Neutral,2737
593,REQ51237,resolution_notes,Provided user with documentation link. Closing ticket.,Neutral,2737
594,INC18367,short_description,Internal Portal Down,Negative,1416
595,INC18367,description,Network connection keeps dropping in Johnfurt office.,Negative,1416
596,INC18367,comments,Is there any further information needed from my side?,Neutral,1416
597,INC18367,resolution_notes,Confirmed fix is working. Closing the ticket.,Positive,1416
598,INC18368,short_description,Internal Portal Down,Negative,1145
599,INC18368,description,Cannot login to VPN Client. Getting error W6203. Urgent!,Negative,1145
600,INC18368,resolution_notes,Great job on resolving the outage so fast!,Positive,1145
601,INC18369,short_description,Network Slow in Aaronberg,Negative,1181
602,INC18369,description,Still waiting for an update on my issue from yesterday.,Negative,1181
603,INC18369,comments,Is there any further information needed from my side?,Neutral,1181
604,INC18369,comments,Monitoring system performance after patch deployment.,Neutral,1181
605,INC18369,resolution_notes,Finally working again after restart. Thanks!,Positive,1181
606,INC18370,short_description,keyboard Broken,Negative,530
607,INC18370,description,Frustrated with the constant issues with the laptop.,Negative,530
608,INC18370,resolution_notes,Great job on resolving the outage so fast!,Positive,530
609,REQ51238,short_description,Software Installation Outlook,Neutral,3029
610,REQ51238,description,VM provisioning request based on template 'Dev VM Template'.,Neutral,3029
611,REQ51238,resolution_notes,Root cause identified as benchmark robust communities. Permanent fix tracked in PRB4485.,Neutral,3029
612,INC18371,short_description,desk phone Broken,Negative,1333
613,INC18371,description,Teams is extremely slow today. Taking minutes to load.,Negative,1333
614,INC18371,resolution_notes,The new mouse works great. Setup was smooth.,Positive,1333
615,REQ51239,short_description,Information Request,Neutral,2431
616,REQ51239,description,VM provisioning request based on template 'Test VM Template'.,Neutral,2431
617,REQ51239,resolution_notes,Root cause identified as strategize e-business e-business. Permanent fix tracked in PRB3018.,Neutral,2431
618,REQ51240,short_description,Request for HR System Access,Neutral,2189
619,REQ51240,description,Password reset required for Darlene Kline's account.,Neutral,2189
620,REQ51240,comments,Can you please provide an estimated resolution time?,Neutral,2189
621,REQ51240,resolution_notes,Access granted. Thank you for the prompt response.,Positive,2189
622,INC18372,short_description,Issue with keyboard,Neutral,1418
623,INC18372,description,Frustrated with the constant issues with the desk phone.,Negative,1418
624,INC18372,resolution_notes,User Dennis Moses confirmed issue resolved after clearing cache.,Neutral,1418
625,INC18373,short_description,Urgent: Outlook Access Issue,Negative,1094
626,INC18373,description,VPN Client is extremely slow today. Taking minutes to load.,Negative,1094
627,INC18373,comments,Assigned ticket to Server Support.,Neutral,1094
628,INC18373,comments,Attempted remote connection to user's machine. Failed.,Neutral,1094
629,INC18373,comments,Can you please provide an estimated resolution time?,Neutral,1094
630,INC18373,resolution_notes,User Kristen Holloway confirmed resolution.,Positive,1094
631,INC18374,short_description,laptop Broken,Negative,362
632,INC18374,description,Salesforce is extremely slow today. Taking minutes to load.,Negative,362
633,INC18374,comments,Assigned ticket to Security Ops.,Neutral,362
634,INC18374,comments,Assigned ticket to App Support Team.,Neutral,362
635,INC18374,comments,Following up as requested.,Neutral,362
636,INC18374,resolution_notes,Thanks! SAP is working perfectly now.,Positive,362
637,REQ51241,short_description,Request for Internal Portal Access,Neutral,251
638,REQ51241,description,User Nancy Perez reporting issue with docking station at Rhodesville.,Neutral,251
639,REQ51241,resolution_notes,Closed per user request.,Neutral,251
640,REQ51242,short_description,Request for Salesforce Access,Neutral,1878
641,REQ51242,description,Inquiry about the status of upgrade project 'Streamline Value-Added Eyeballs'.,Neutral,1878
642,REQ51242,resolution_notes,Great job on resolving the outage so fast!,Positive,1878
643,REQ51243,short_description,Request for Outlook Access,Neutral,3462
644,REQ51243,description,User John Pope reporting issue with mouse at North Kimberly.,Neutral,3462
645,REQ51243,comments,Any update on this request?,Neutral,3462
646,REQ51243,resolution_notes,Provided user with documentation link. Closing ticket.,Neutral,3462
647,INC18375,short_description,Login Problem Outlook,Neutral,482
648,INC18375,description,My laptop is broken. Need a replacement ASAP.,Negative,482
649,INC18375,comments,Monitoring system performance after patch deployment.,Neutral,482
650,INC18375,comments,Gathering more information from user Pamela Aguilar.,Neutral,482
651,INC18375,comments,Reset password for Jeffery Spears and provided temporary one.,Neutral,482
652,INC18375,resolution_notes,Finally working again after restart. Thanks!,Positive,482
653,REQ51244,short_description,Software Installation SAP,Neutral,3884
654,REQ51244,description,Following up on previous ticket INC11059.,Neutral,3884
655,REQ51244,resolution_notes,Thanks! HR System is working perfectly now.,Positive,3884
656,INC18376,short_description,Issue with keyboard,Neutral,1301
657,INC18376,description,This is unacceptable performance for SAP.,Negative,1301
658,INC18376,comments,Checked logs on WEB-SHE-71. Found error E6842.,Neutral,1301
659,INC18376,comments,Monitoring system performance after patch deployment.,Neutral,1301
660,INC18376,resolution_notes,The new keyboard works great. Setup was smooth.,Positive,1301
661,INC18377,short_description,Urgent: Salesforce Access Issue,Negative,934
662,INC18377,description,Error W2227 when trying to access the shared drive.,Negative,934
663,INC18377,comments,Applied configuration change as per documentation.,Neutral,934
664,INC18377,comments,No progress reported yet.,Negative,934
665,INC18377,resolution_notes,Confirmed fix is working. Closing the ticket.,Positive,934
666,REQ51245,short_description,New monitor Request,Neutral,1744
667,REQ51245,description,VM provisioning request based on template 'Dev VM Template'.,Neutral,1744
668,REQ51245,resolution_notes,Replaced faulty desk phone. Asset tag updated.,Neutral,1744
669,INC18378,short_description,Login Problem Finance Tool,Neutral,595
670,INC18378,description,System crash on DC-CANDIDATE-64. Lost work. Please investigate immediately.,Negative,595
671,INC18378,comments,Checked logs on WEB-CONSIDER-62. Found error E514.,Neutral,595
672,INC18378,comments,Is there any further information needed from my side?,Neutral,595
673,INC18378,comments,Investigating network latency between Port Brianbury and DC.,Neutral,595
674,INC18378,resolution_notes,Confirmed fix is working. Closing the ticket.,Positive,595
675,INC18379,short_description,Network Slow in South Gwendolynstad,Negative,1174
676,INC18379,description,Error W4211 when trying to access the shared drive.,Negative,1174
677,INC18379,comments,Following up as requested.,Neutral,1174
678,INC18379,comments,Escalating issue to Tier 3 support / Help Desk.,Neutral,1174
679,INC18379,resolution_notes,Thanks! Teams is working perfectly now.,Positive,1174
680,INC18380,short_description,desk phone Broken,Negative,1160
681,INC18380,description,The provided solution did not work. Problem persists.,Negative,1160
682,INC18380,comments,Any update on this request?,Neutral,1160
683,INC18380,comments,Any update? Still blocked.,Negative,1160
684,INC18380,comments,Any update on this request?,Neutral,1160
685,INC18380,resolution_notes,Confirmed fix is working. Closing the ticket.,Positive,1160
686,INC18381,short_description,Urgent: Salesforce Access Issue,Negative,425
687,INC18381,description,System crash on WEB-LEVEL-85. Lost work. Please investigate immediately.,Negative,425
688,INC18381,comments,Following up as requested.,Neutral,425
689,INC18381,comments,Assigned ticket to Help Desk.,Neutral,425
690,INC18381,resolution_notes,Finally working again after restart. Thanks!,Positive,425
691,INC18382,short_description,Issue with desk phone,Neutral,82
692,INC18382,description,System crash on APP-WRITER-12. Lost work. Please investigate immediately.,Negative,82
693,INC18382,comments,Is there any further information needed from my side?,Neutral,82
694,INC18382,resolution_notes,Provided user with documentation link. Closing ticket.,Neutral,82
695,REQ51246,short_description,New laptop Request,Neutral,1279
696,REQ51246,description,Submitting request for software license for Teams.,Neutral,1279
697,REQ51246,resolution_notes,Replaced faulty laptop. Asset tag updated.,Neutral,1279
698,INC18383,short_description,Teams Down,Negative,141
699,INC18383,description,This is unacceptable performance for VPN Client.,Negative,141
700,INC18383,resolution_notes,User Mr. Philip Calhoun confirmed issue resolved after clearing cache.,Neutral,141
701,INC18384,short_description,Cannot Login to Finance Tool,Negative,84
702,INC18384,description,Network connection keeps dropping in Campbellport office.,Negative,84
703,INC18384,comments,Ordered replacement printer. ETA 2 days.,Neutral,84
704,INC18384,comments,Following up as requested.,Neutral,84
705,INC18384,resolution_notes,"Excellent support, problem fixed.",Positive,84
706,REQ51247,short_description,Software Installation Outlook,Neutral,3554
707,REQ51247,description,Hardware refresh needed for Elizabeth Hill. See attached list.,Neutral,3554
708,REQ51247,resolution_notes,Access granted to Outlook. User notified.,Neutral,3554
709,REQ51248,short_description,New laptop Request,Neutral,2872
710,REQ51248,description,Need standard laptop for employee starting next week.,Neutral,2872
711,REQ51248,comments,Checked logs on DC-CRIME-44. Found error C9239.,Neutral,2872
712,REQ51248,resolution_notes,Root cause identified as re-contextualize visionary e-tailers. Permanent fix tracked in PRB8354.,Neutral,2872
713,INC18385,short_description,Network Slow in North Leslie,Negative,639
714,INC18385,description,System crash on APP-CHAIR-38. Lost work. Please investigate immediately.,Negative,639
715,INC18385,comments,Any update on this request?,Neutral,639
716,INC18385,comments,Reset password for Michael Moody and provided temporary one.,Neutral,639
717,INC18385,comments,Following up as requested.,Neutral,639
718,INC18385,resolution_notes,Great job on resolving the outage so fast!,Positive,639
719,REQ51249,short_description,Information Request,Neutral,372
720,REQ51249,description,Password reset required for Andrew Johnson's account.,Neutral,372
721,REQ51249,resolution_notes,Access granted to SAP. User notified.,Neutral,372
722,INC18386,short_description,Network Slow in Kingview,Negative,1045
723,INC18386,description,Still waiting for an update on my issue from yesterday.,Negative,1045
724,INC18386,comments,Monitoring system performance after patch deployment.,Neutral,1045
725,INC18386,resolution_notes,The new laptop works great. Setup was smooth.,Positive,1045
726,INC18387,short_description,desk phone Broken,Negative,1165
727,INC18387,description,This is unacceptable performance for HR System.,Negative,1165
728,INC18387,comments,Checked logs on DC-STREET-20. Found error C2314.,Neutral,1165
729,INC18387,resolution_notes,Access granted. Thank you for the prompt response.,Positive,1165
730,INC18388,short_description,laptop Broken,Negative,490
731,INC18388,description,System crash on DB-TEND-99. Lost work. Please investigate immediately.,Negative,490
732,INC18388,comments,Gathering more information from user Benjamin Romero.,Neutral,490
733,INC18388,resolution_notes,Password reset completed. User able to login.,Neutral,490
734,REQ51250,short_description,New monitor Request,Neutral,2361
735,REQ51250,description,User Judy Morris reporting issue with keyboard at Rayfurt.,Neutral,2361
736,REQ51250,resolution_notes,Great job on resolving the outage so fast!,Positive,2361
737,REQ51251,short_description,Password Reset,Neutral,1910
738,REQ51251,description,Submitting request for software license for Outlook.,Neutral,1910
739,REQ51251,comments,Escalating issue to Tier 3 support / App Support Team.,Neutral,1910
740,REQ51251,resolution_notes,Great job on resolving the outage so fast!,Positive,1910
741,INC18389,short_description,HR System Down,Negative,377
742,INC18389,description,Network connection keeps dropping in Hooperbury office.,Negative,377
743,INC18389,resolution_notes,"Excellent support, problem fixed.",Positive,377
744,INC18390,short_description,Issue with laptop,Neutral,134
745,INC18390,description,My printer is broken. Need a replacement ASAP.,Negative,134
746,INC18390,comments,Escalating issue to Tier 3 support / Desktop Support.,Neutral,134
747,INC18390,resolution_notes,Issue resolved quickly. Appreciate the help from Desktop Support.,Positive,134
748,INC18391,short_description,Teams Down,Negative,619
749,INC18391,description,Network connection keeps dropping in North Brendamouth office.,Negative,619
750,INC18391,comments,Investigating network latency between Port Heidiberg and DC.,Neutral,619
751,INC18391,comments,Attempted remote connection to user's machine. Failed.,Neutral,619
752,INC18391,resolution_notes,User Colton Wilson MD confirmed resolution.,Positive,619
753,INC18392,short_description,printer Broken,Negative,644
754,INC18392,description,Cannot login to Teams. Getting error C5951. Urgent!,Negative,644
755,INC18392,comments,Attempted remote connection to user's machine. Failed.,Neutral,644
756,INC18392,comments,Just checking in on the status.,Neutral,644
757,INC18392,resolution_notes,Confirmed fix is working. Closing the ticket.,Positive,644
758,REQ51252,short_description,New mouse Request,Neutral,3508
759,REQ51252,description,VM provisioning request based on template 'Test VM Template'.,Neutral,3508
760,REQ51252,comments,Investigating network latency between North Travistown and DC.,Neutral,3508
761,REQ51252,resolution_notes,Problem solved after the steps you provided.,Positive,3508
762,INC18393,short_description,Internal Portal Down,Negative,633
763,INC18393,description,SAP is extremely slow today. Taking minutes to load.,Negative,633
764,INC18393,comments,Can you please provide an estimated resolution time?,Neutral,633
765,INC18393,resolution_notes,"Excellent support, problem fixed.",Positive,633
766,INC18394,short_description,printer Broken,Negative,756
767,INC18394,description,This is unacceptable performance for HR System.,Negative,756
768,INC18394,comments,Following up as requested.,Neutral,756
769,INC18394,resolution_notes,Problem solved after the steps you provided.,Positive,756
770,INC18395,short_description,Network Slow in Wheelerhaven,Negative,1283
771,INC18395,description,My printer is broken. Need a replacement ASAP.,Negative,1283
772,INC18395,comments,Assigned ticket to Server Support.,Neutral,1283
773,INC18395,resolution_notes,Access granted. Thank you for the prompt response.,Positive,1283
774,INC18396,short_description,Login Problem Teams,Neutral,617
775,INC18396,description,SAP is extremely slow today. Taking minutes to load.,Negative,617
776,INC18396,comments,Monitoring system performance after patch deployment.,Neutral,617
777,INC18396,comments,This is taking too long.,Negative,617
778,INC18396,comments,Following up as requested.,Neutral,617
779,INC18396,resolution_notes,Great job on resolving the outage so fast!,Positive,617
780,INC18397,short_description,Network Slow in West Angelamouth,Negative,23
781,INC18397,description,Frustrated with the constant issues with the printer.,Negative,23
782,INC18397,comments,Following up as requested.,Neutral,23
783,INC18397,comments,This is taking too long.,Negative,23
784,INC18397,comments,Applied configuration change as per documentation.,Neutral,23
785,INC18397,resolution_notes,Access granted. Thank you for the prompt response.,Positive,23
786,INC18398,short_description,Issue with monitor,Neutral,1101
787,INC18398,description,The provided solution did not work. Problem persists.,Negative,1101
788,INC18398,comments,Investigating network latency between Gordonview and DC.,Neutral,1101
789,INC18398,comments,Is there any further information needed from my side?,Neutral,1101
790,INC18398,resolution_notes,"Excellent support, problem fixed.",Positive,1101
791,INC18399,short_description,Teams Down,Negative,769
792,INC18399,description,Network connection keeps dropping in Jessicachester office.,Negative,769
793,INC18399,comments,Gathering more information from user Anita Hernandez.,Neutral,769
794,INC18399,resolution_notes,Problem solved after the steps you provided.,Positive,769
795,INC18400,short_description,Cannot Login to HR System,Negative,1257
796,INC18400,description,Network connection keeps dropping in Jonathonfort office.,Negative,1257
797,INC18400,comments,Applied configuration change as per documentation.,Neutral,1257
798,INC18400,comments,Applied configuration change as per documentation.,Neutral,1257
799,INC18400,resolution_notes,Confirmed fix is working. Closing the ticket.,Positive,1257
800,REQ51253,short_description,Request for VPN Client Access,Neutral,403
801,REQ51253,description,Following up on previous ticket INC13562.,Neutral,403
802,REQ51253,comments,Gathering more information from user Paul Martin.,Neutral,403
803,REQ51253,resolution_notes,Network configuration corrected by Desktop Support.,Neutral,403
804,REQ51254,short_description,Information Request,Neutral,3351
805,REQ51254,description,Following up on previous ticket INC10560.,Neutral,3351
806,REQ51254,comments,Can you please provide an estimated resolution time?,Neutral,3351
807,REQ51254,resolution_notes,Issue resolved quickly. Appreciate the help from App Support Team.,Positive,3351
808,INC18401,short_description,Network Slow in East Cody,Negative,1019
809,INC18401,description,Cannot login to Salesforce. Getting error E4606. Urgent!,Negative,1019
810,INC18401,comments,Escalating issue to Tier 3 support / Security Ops.,Neutral,1019
811,INC18401,comments,Reset password for Vernon Petty and provided temporary one.,Neutral,1019
812,INC18401,comments,Can you please provide an estimated resolution time?,Neutral,1019
813,INC18401,resolution_notes,Issue resolved quickly. Appreciate the help from Help Desk.,Positive,1019
814,INC18402,short_description,Network Slow in Hoville,Negative,226
815,INC18402,description,SAP is extremely slow today. Taking minutes to load.,Negative,226
816,INC18402,comments,Just checking in on the status.,Neutral,226
817,INC18402,resolution_notes,User Robert Lewis confirmed resolution.,Positive,226
818,REQ51255,short_description,Information Request,Neutral,2899
819,REQ51255,description,Hardware refresh needed for Mario Williams. See attached list.,Neutral,2899
820,REQ51255,comments,Escalating issue to Tier 3 support / Network Team.,Neutral,2899
821,REQ51255,resolution_notes,Password reset completed. User able to login.,Neutral,2899
822,INC18403,short_description,Login Problem Outlook,Neutral,721
823,INC18403,description,System crash on DB-NOW-57. Lost work. Please investigate immediately.,Negative,721
